Start Date,1/1/2020
End Date,12/31/2023
CURRENCY,GBP
,HSBA LN Equity
,last_price
Dates,PX_LAST
23/03/2022,5.097
24/03/2022,5.176
25/03/2022,5.168
28/03/2022,5.187
29/03/2022,5.27
30/03/2022,5.266
31/03/2022,5.254
1/4/2022,5.289
4/4/2022,5.251
5/4/2022,5.277
6/4/2022,5.242
7/4/2022,5.214
8/4/2022,5.3
11/4/2022,5.333
12/4/2022,5.193
13/04/2022,5.182
14/04/2022,5.224
15/04/2022,5.224
18/04/2022,5.224
19/04/2022,5.256
20/04/2022,5.38
21/04/2022,5.369
22/04/2022,5.233
25/04/2022,5.016
26/04/2022,4.739
27/04/2022,4.863
28/04/2022,4.941
29/04/2022,5.013
2/5/2022,5.013
3/5/2022,5.128
4/5/2022,5.154
5/5/2022,5.08
6/5/2022,5.02
9/5/2022,4.927
10/5/2022,4.957
11/5/2022,4.994
12/5/2022,4.834
13/05/2022,5.014
16/05/2022,4.986
17/05/2022,5.024
18/05/2022,4.955
19/05/2022,4.859
20/05/2022,4.908
23/05/2022,5.01
24/05/2022,5.189
25/05/2022,5.213
26/05/2022,5.253
27/05/2022,5.324
30/05/2022,5.286
31/05/2022,5.33
1/6/2022,5.296
2/6/2022,5.296
3/6/2022,5.296
6/6/2022,5.335
7/6/2022,5.293
8/6/2022,5.202
9/6/2022,5.118
10/6/2022,4.991
13/06/2022,5.029
14/06/2022,5.204
15/06/2022,5.306
16/06/2022,5.116
17/06/2022,5.087
20/06/2022,5.375
21/06/2022,5.388
22/06/2022,5.336
23/06/2022,5.266
24/06/2022,5.373
27/06/2022,5.386
28/06/2022,5.458
29/06/2022,5.521
30/06/2022,5.356
1/7/2022,5.344
4/7/2022,5.397
5/7/2022,5.231
6/7/2022,5.187
7/7/2022,5.356
8/7/2022,5.258
11/7/2022,5.277
12/7/2022,5.298
13/07/2022,5.272
14/07/2022,5.124
15/07/2022,5.139
18/07/2022,5.198
19/07/2022,5.234
20/07/2022,5.178
21/07/2022,5.234
22/07/2022,5.152
25/07/2022,5.265
26/07/2022,5.245
27/07/2022,5.242
28/07/2022,5.134
29/07/2022,5.137
1/8/2022,5.452
2/8/2022,5.344
3/8/2022,5.434
4/8/2022,5.408
5/8/2022,5.419
8/8/2022,5.455
9/8/2022,5.535
10/8/2022,5.45
11/8/2022,5.489
12/8/2022,5.505
15/08/2022,5.47
16/08/2022,5.498
17/08/2022,5.451
18/08/2022,5.407
19/08/2022,5.368
22/08/2022,5.382
23/08/2022,5.313
24/08/2022,5.212
25/08/2022,5.225
26/08/2022,5.23
29/08/2022,5.23
30/08/2022,5.295
31/08/2022,5.288
1/9/2022,5.208
2/9/2022,5.349
5/9/2022,5.368
6/9/2022,5.337
7/9/2022,5.23
8/9/2022,5.255
9/9/2022,5.25
12/9/2022,5.36
13/09/2022,5.296
14/09/2022,5.189
15/09/2022,5.297
16/09/2022,5.296
19/09/2022,5.296
20/09/2022,5.341
21/09/2022,5.249
22/09/2022,5.15
23/09/2022,5.1
26/09/2022,5.016
27/09/2022,4.957
28/09/2022,4.835
29/09/2022,4.67
30/09/2022,4.673
3/10/2022,4.614
4/10/2022,4.82
5/10/2022,4.724
6/10/2022,4.713
7/10/2022,4.67
10/10/2022,4.628
11/10/2022,4.545
12/10/2022,4.491
13/10/2022,4.593
